Model unknown

  Variables:
    x : Size=1204, Index=x_index
        Key                     : Lower : Value                   : Upper : Fixed : Stale : Domain
                   (4.65798, 1) :  None :    -0.06548354068528472 :  None : False : False :  Reals
                   (4.65798, 2) :  None :     0.17014440825470217 :  None : False : False :  Reals
                   (4.65798, 3) :  None :    -0.14124364193611197 :  None : False : False :  Reals
         (4.800000000000001, 0) :  None :     0.08756942131065196 :  None : False : False :  Reals
         (4.800000000000001, 1) :  None :    -0.07657506869799162 :  None : False : False :  Reals
         (4.800000000000001, 2) :  None :      0.1486038623328284 :  None : False : False :  Reals
         (4.800000000000001, 3) :  None :    -0.15952790415684784 :  None : False : False :  Reals
                   (4.86202, 0) :  None :     0.08272533010579441 :  None : False : False :  Reals
                   (4.86202, 1) :  None :     -0.0792000710606757 :  None : False : False :  Reals
                   (4.86202, 2) :  None :     0.13858169139849766 :  None : False : False :  Reals
                   (4.86202, 3) :  None :     -0.1622625523633005 :  None : False : False :  Reals
                   (5.05798, 0) :  None :     0.06717285743164705 :  None : False : False :  Reals
                   (5.05798, 1) :  None :    -0.07702896410540379 :  None : False : False :  Reals
                   (5.05798, 2) :  None :     0.10751897760926311 :  None : False : False :  Reals
                   (5.05798, 3) :  None :     -0.1503214864362544 :  None : False : False :  Reals
                       (5.2, 0) :  None :     0.05691800514744763 :  None : False : False :  Reals
                       (5.2, 1) :  None :    -0.06607024906213267 :  None : False : False :  Reals
                       (5.2, 2) :  None :     0.08780344789662815 :  None : False : False :  Reals
                       (5.2, 3) :  None :    -0.12498554924283091 :  None : False : False :  Reals
                   (5.26202, 0) :  None :     0.05300449712230552 :  None : False : False :  Reals
                   (5.26202, 1) :  None :    -0.05902577197675878 :  None : False : False :  Reals
                   (5.26202, 2) :  None :     0.08045439855861632 :  None : False : False :  Reals
                   (5.26202, 3) :  None :    -0.11033630143017187 :  None : False : False :  Reals
                   (5.45798, 0) :  None :     0.04419805563606026 :  None : False : False :  Reals
                   (5.45798, 1) :  None :   -0.029934224117058157 :  None : False : False :  Reals
                   (5.45798, 2) :  None :     0.06420629559582976 :  None : False : False :  Reals
                   (5.45798, 3) :  None :   -0.054245368120288774 :  None : False : False :  Reals
        (5.6000000000000005, 0) :  None :     0.04165471602347221 :  None : False : False :  Reals
        (5.6000000000000005, 1) :  None :  -0.0053988829351815995 :  None : False : False :  Reals
        (5.6000000000000005, 2) :  None :     0.05967522566264221 :  None : False : False :  Reals
        (5.6000000000000005, 3) :  None :   -0.008906863514259962 :  None : False : False :  Reals
                   (5.66202, 0) :  None :     0.04163794660894276 :  None : False : False :  Reals
                   (5.66202, 1) :  None :    0.005465088878229572 :  None : False : False :  Reals
                   (5.66202, 2) :  None :     0.05970656377718511 :  None : False : False :  Reals
                   (5.66202, 3) :  None :    0.010957138498763522 :  None : False : False :  Reals
                   (5.85798, 0) :  None :     0.04589306177125529 :  None : False : False :  Reals
                   (5.85798, 1) :  None :     0.03654112267593146 :  None : False : False :  Reals
                   (5.85798, 2) :  None :     0.06773739884208753 :  None : False : False :  Reals
                   (5.85798, 3) :  None :     0.06872956321361667 :  None : False : False :  Reals
                       (6.0, 0) :  None :    0.052356243249705614 :  None : False : False :  Reals
                       (6.0, 1) :  None :    0.053729409865145863 :  None : False : False :  Reals
                       (6.0, 2) :  None :     0.07995005382299095 :  None : False : False :  Reals
                       (6.0, 3) :  None :     0.10205858631964315 :  None : False : False :  Reals
                   (6.06202, 0) :  None :     0.05587203412626172 :  None : False : False :  Reals
                   (6.06202, 1) :  None :      0.0593250315749458 :  None : False : False :  Reals
                   (6.06202, 2) :  None :     0.08664120039204824 :  None : False : False :  Reals
                   (6.06202, 3) :  None :     0.11349213887856133 :  None : False : False :  Reals
                   (6.25798, 0) :  None :     0.06856406507442508 :  None : False : False :  Reals
                   (6.25798, 1) :  None :     0.06801773749799575 :  None : False : False :  Reals
                   (6.25798, 2) :  None :     0.11127292638506069 :  None : False : False :  Reals
                   (6.25798, 3) :  None :     0.13372177760742088 :  None : False : False :  Reals
                       (6.4, 0) :  None :     0.07816876530504317 :  None : False : False :  Reals
                       (6.4, 1) :  None :     0.06608749645444605 :  None : False : False :  Reals
                       (6.4, 2) :  None :     0.13034748283747916 :  None : False : False :  Reals
                       (6.4, 3) :  None :     0.13269841374042146 :  None : False : False :  Reals
                   (6.46202, 0) :  None :     0.08219998412212805 :  None : False : False :  Reals
                   (6.46202, 1) :  None :     0.06320421861773223 :  None : False : False :  Reals
                   (6.46202, 2) :  None :      0.1384791742641241 :  None : False : False :  Reals
                   (6.46202, 3) :  None :     0.12809570840866794 :  None : False : False :  Reals
                   (6.65798, 0) :  None :     0.09314673389610793 :  None : False : False :  Reals
                   (6.65798, 1) :  None :    0.047249493900830095 :  None : False : False :  Reals
                   (6.65798, 2) :  None :      0.1609413435799471 :  None : False : False :  Reals
                   (6.65798, 3) :  None :     0.09816882050459162 :  None : False : False :  Reals
         (6.800000000000001, 0) :  None :     0.09874496257140403 :  None : False : False :  Reals
         (6.800000000000001, 1) :  None :    0.030919822054619052 :  None : False : False :  Reals
         (6.800000000000001, 2) :  None :     0.17265869734346453 :  None : False : False :  Reals
         (6.800000000000001, 3) :  None :      0.0652706119702538 :  None : False : False :  Reals
                   (6.86202, 0) :  None :     0.10043516367875831 :  None : False : False :  Reals
                   (6.86202, 1) :  None :     0.02298965887730832 :  None : False : False :  Reals
                   (6.86202, 2) :  None :     0.17624340369435637 :  None : False : False :  Reals
                   (6.86202, 3) :  None :     0.04886379173555757 :  None : False : False :  Reals
                   (7.05798, 0) :  None :     0.10235926744071079 :  None : False : False :  Reals
                   (7.05798, 1) :  None :  -0.0031258298529388585 :  None : False : False :  Reals
                   (7.05798, 2) :  None :     0.18040569810873328 :  None : False : False :  Reals
                   (7.05798, 3) :  None :   -0.005920826157684703 :  None : False : False :  Reals
                       (7.2, 0) :  None :     0.10062307885670474 :  None : False : False :  Reals
                       (7.2, 1) :  None :    -0.02120529423507991 :  None : False : False :  Reals
                       (7.2, 2) :  None :      0.1768510994894716 :  None : False : False :  Reals
                       (7.2, 3) :  None :   -0.043894224128377554 :  None : False : False :  Reals
                   (7.26202, 0) :  None :     0.09909047531561184 :  None : False : False :  Reals
                   (7.26202, 1) :  None :   -0.028426397428188407 :  None : False : False :  Reals
                   (7.26202, 2) :  None :     0.17367212859503806 :  None : False : False :  Reals
                   (7.26202, 3) :  None :    -0.05893248614505192 :  None : False : False :  Reals
                   (7.45798, 0) :  None :     0.09159646172240156 :  None : False : False :  Reals
                   (7.45798, 1) :  None :    -0.04659917373998851 :  None : False : False :  Reals
                   (7.45798, 2) :  None :     0.15820074123354813 :  None : False : False :  Reals
                   (7.45798, 3) :  None :    -0.09575690330442904 :  None : False : False :  Reals
        (7.6000000000000005, 0) :  None :      0.0843774777815056 :  None : False : False :  Reals
        (7.6000000000000005, 1) :  None :    -0.05429523222585559 :  None : False : False :  Reals
        (7.6000000000000005, 2) :  None :     0.14344231996010115 :  None : False : False :  Reals
        (7.6000000000000005, 3) :  None :    -0.11038972358393619 :  None : False : False :  Reals
                   (7.66202, 0) :  None :     0.08094608836202787 :  None : False : False :  Reals
                   (7.66202, 1) :  None :    -0.05599427436589207 :  None : False : False :  Reals
                   (7.66202, 2) :  None :     0.13648080382206992 :  None : False : False :  Reals
                   (7.66202, 3) :  None :    -0.11322602562257639 :  None : False : False :  Reals
                   (7.85798, 0) :  None :     0.06999519401114754 :  None : False : False :  Reals
                   (7.85798, 1) :  None :    -0.05408672349723987 :  None : False : False :  Reals
                   (7.85798, 2) :  None :     0.11452920329659955 :  None : False : False :  Reals
                   (7.85798, 3) :  None :    -0.10754835361555189 :  None : False : False :  Reals
                       (8.0, 0) :  None :     0.06279804568206564 :  None : False : False :  Reals
                       (8.0, 1) :  None :    -0.04638136235651843 :  None : False : False :  Reals
                       (8.0, 2) :  None :     0.10029572499871078 :  None : False : False :  Reals
                       (8.0, 3) :  None :    -0.09117771951478926 :  None : False : False :  Reals
                   (8.06202, 0) :  None :     0.06005010975245632 :  None : False : False :  Reals
                   (8.06202, 1) :  None :   -0.041542594690527124 :  None : False : False :  Reals
                   (8.06202, 2) :  None :     0.09490842060713509 :  None : False : False :  Reals
                   (8.06202, 3) :  None :    -0.08128811877912598 :  None : False : False :  Reals
                   (8.25798, 0) :  None :     0.05377952881550313 :  None : False : False :  Reals
                   (8.25798, 1) :  None :   -0.021841820412243487 :  None : False : False :  Reals
                   (8.25798, 2) :  None :     0.08270631272716711 :  None : False : False :  Reals
                   (8.25798, 3) :  None :   -0.042182770266748944 :  None : False : False :  Reals
                       (8.4, 0) :  None :     0.05183212974389437 :  None : False : False :  Reals
                       (8.4, 1) :  None :   -0.005259659327653321 :  None : False : False :  Reals
                       (8.4, 2) :  None :     0.07897221102607621 :  None : False : False :  Reals
